abs_change;0
[-0.1, 0.2];5526
[0.2, 0.4];0
[0.4, 0.6];0
[0.6, 0.8];0
[0.8, 1.0];0
[1.0, 1.2];0
[1.2, 1.4];0
[1.4, 1.6];0
[1.6, 1.8];0
[1.8, 2.0];0
[2.0, 2.5];0
[2.5, 3.0];0
[3.0, 3.5];0
[3.5, 4.0];0
[4.0, 4.5];0
[4.5, 5.0];0
[5.0, 6.0];0
[6.0, 7.0];0
[7.0, 8.0];0
[8.0, 9.0];0
[9.0, 10.0];0
[10.0, 11.0];0
[11.0, 12.0];0
[12.0, 13.0];0
[13.0, 14.0];0
[14.0, 15.0];0
[15.0, 20.0];0
[20.0, 25.0];0
[25.0, 30.0];0
[30.0, 35.0];0
[35.0, 40.0];0
[40.0, 45.0];0
[45.0, 50.0];0
[50.0, 60.0];0
[60.0, 70.0];0
[70.0, 80.0];0
[80.0, 90.0];0
[90.0, 100.0];0
[100.0, 10000];0
